iter	Passed	Remaining
0	153	153104
1	154	77235
2	156	51909
3	157	39281
4	159	31712
5	160	26644
6	162	23036
7	163	20292
8	165	18180
9	166	16486
10	168	15105
11	169	13942
12	171	12989
13	172	12171
14	174	11448
15	175	10806
16	177	10257
17	178	9746
18	179	9292
19	181	8882
20	182	8518
21	184	8180
22	185	7880
23	187	7607
24	188	7353
25	189	7111
26	191	6891
27	192	6683
28	194	6500
29	195	6323
30	197	6159
31	198	6016
32	200	5877
33	201	5737
34	203	5604
35	204	5478
36	205	5357
37	207	5243
38	208	5135
39	209	5032
40	210	4934
41	212	4840
42	213	4751
43	214	4670
44	216	4592
45	218	4522
46	219	4446
47	220	4372
48	221	4302
49	223	4237
50	224	4173
51	225	4112
52	226	4052
53	228	3994
54	229	3947
55	231	3902
56	233	3857
57	234	3809
58	235	3761
59	237	3714
60	238	3667
61	239	3622
62	240	3579
63	241	3538
64	243	3500
65	244	3466
66	246	3432
67	247	3397
68	249	3364
69	250	3329
70	252	3298
71	253	3265
72	254	3234
73	256	3204
74	257	3175
75	259	3151
76	260	3126
77	262	3098
78	263	3071
79	264	3044
80	266	3018
81	267	2992
82	268	2961
83	269	2937
84	270	2913
85	272	2891
86	273	2871
87	275	2853
88	277	2835
89	278	2816
90	279	2796
91	281	2776
92	282	2756
93	283	2736
94	285	2717
95	286	2697
96	288	2682
97	290	2670
98	291	2651
99	292	2633
100	293	2615
101	295	2597
102	296	2580
103	297	2564
104	298	2547
105	300	2530
106	301	2514
107	302	2499
108	304	2485
109	305	2471
110	306	2456
111	307	2440
112	309	2425
113	310	2411
114	311	2396
115	312	2382
116	313	2367
117	315	2355
118	316	2342
119	317	2329
120	319	2320
121	320	2306
122	321	2293
123	322	2281
124	324	2270
125	325	2259
126	326	2246
127	328	2234
128	329	2223
129	330	2211
130	331	2202
131	333	2193
132	335	2187
133	336	2177
134	338	2167
135	339	2158
136	340	2147
137	342	2138
138	343	2128
139	345	2120
140	346	2111
141	347	2099
142	349	2091
143	350	2083
144	351	2075
145	353	2067
146	354	2057
147	355	2048
148	357	2039
149	358	2030
150	359	2023
151	361	2014
152	362	2006
153	363	1998
154	365	1991
155	366	1983
156	367	1975
157	369	1967
158	370	1959
159	371	1951
160	372	1941
161	373	1934
162	375	1927
163	376	1920
164	378	1914
165	380	1910
166	381	1903
167	383	1896
168	384	1889
169	385	1883
170	387	1877
171	388	1870
172	389	1863
173	391	1857
174	392	1850
175	394	1846
176	395	1839
177	396	1832
178	398	1826
179	399	1819
180	400	1813
181	401	1806
182	403	1800
183	404	1793
184	405	1787
185	406	1780
186	408	1775
187	409	1769
188	410	1763
189	412	1756
190	413	1750
191	414	1744
192	416	1739
193	417	1733
194	418	1727
195	419	1722
196	421	1716
197	422	1711
198	424	1707
199	425	1702
200	426	1696
201	427	1690
202	429	1685
203	430	1679
204	431	1673
205	433	1669
206	434	1663
207	435	1658
208	436	1652
209	438	1649
210	440	1645
211	441	1641
212	443	1636
213	444	1632
214	445	1628
215	447	1623
216	448	1618
217	449	1613
218	451	1608
219	452	1605
220	454	1601
221	455	1597
222	457	1592
223	458	1588
224	459	1583
225	461	1579
226	462	1574
227	463	1570
228	465	1565
229	466	1562
230	468	1558
231	469	1555
232	471	1551
233	473	1548
234	474	1544
235	475	1540
236	477	1536
237	478	1532
238	479	1527
239	480	1523
240	482	1519
241	484	1516
242	485	1512
243	487	1508
244	488	1504
245	489	1500
246	490	1496
247	492	1492
248	493	1487
249	494	1483
250	495	1479
251	497	1475
252	498	1472
253	500	1470
254	501	1466
255	503	1462
256	504	1458
257	506	1455
258	507	1452
259	509	1449
260	510	1445
261	512	1442
262	513	1439
263	515	1437
264	517	1434
265	518	1431
266	520	1428
267	521	1425
268	523	1421
269	524	1418
270	526	1415
271	527	1412
272	529	1411
273	531	1408
274	533	1405
275	534	1402
276	536	1399
277	537	1396
278	538	1392
279	540	1389
280	541	1386
281	543	1384
282	545	1383
283	547	1379
284	548	1375
285	549	1373
286	551	1369
287	552	1365
288	553	1362
289	554	1358
290	556	1355
291	557	1352
292	559	1349
293	560	1347
294	562	1344
295	563	1340
296	565	1337
297	566	1335
298	568	1332
299	569	1328
300	570	1325
301	572	1323
302	574	1320
303	575	1317
304	577	1314
305	578	1312
306	580	1309
307	581	1306
308	582	1302
309	583	1299
310	585	1296
311	586	1294
312	588	1291
313	590	1289
314	591	1285
315	592	1283
316	594	1280
317	595	1277
318	597	1274
319	598	1271
320	599	1268
321	601	1265
322	602	1263
323	604	1261
324	606	1259
325	608	1257
326	609	1254
327	611	1252
328	612	1249
329	614	1247
330	615	1244
331	617	1241
332	618	1239
